pin,address,class,class_desc,board_bldg,char_bldg_sf,bldg_per_sqft,group,char_yrblt,lat,lon
16081190190000,155 N HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",42932,2134,20.12,Ridgeland,1901,41.88942581,-87.7819035
16081200180000,155 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",43732,2126,20.57,Ridgeland,1914,41.88945874,-87.78025924
16081190080000,156 N CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",43636,2169,20.12,Ridgeland,1888,41.88949521,-87.78275223
16081230070000,158 N HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",35030,1680,20.85,Ridgeland,1908,41.88966555,-87.77622292
16081210060000,158 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39737,1704,23.32,Ridgeland,1892,41.8896129,-87.77948877
16081220060000,158 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",46481,2030,22.9,Ridgeland,1911,41.88962708,-87.77783443
16081200170000,161 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",30870,1509,20.46,Ridgeland,1940,41.88956752,-87.78024007
16081190070000,162 N CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",43242,2196,19.69,Ridgeland,1889,41.88969373,-87.78271407
16081200050000,162 N HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",43295,2180,19.86,Ridgeland,1908,41.8897268,-87.78109896
16081220040000,164 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",45070,1907,23.63,Ridgeland,1903,41.88990197,-87.77782841
16081210040000,166 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39516,1888,20.93,Ridgeland,1900,41.88988771,-87.77946817
16081190150000,167 N HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",41636,1770,23.52,Ridgeland,1891,41.8899512,-87.78191356
16081220160000,167 N HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39261,1998,19.65,Ridgeland,1894,41.88992258,-87.77702628
